tmdb_id,nominee,year,festival,category,won,movie_title
0,Lee J. Cobb,1958,Berlin,Silver Bear Best Actor,TRUE,12 Angry Men
0,Sidney Poitier,1958,Berlin,Silver Bear Best Actor,TRUE,The Defiant Ones
0,Jean Gabin,1959,Berlin,Silver Bear Best Actor,TRUE,Archimède le clochard
0,Fredric March,1960,Berlin,Silver Bear Best Actor,TRUE,Inherit the Wind
0,Peter Finch,1962,Berlin,Silver Bear Best Actor,TRUE,No Love for Johnnie
0,James Stewart,1963,Berlin,Silver Bear Best Actor,TRUE,Mr. Hobbs Takes a Vacation
0,Rod Steiger,1964,Berlin,Silver Bear Best Actor,TRUE,The Pawnbroker
0,Lee Marvin,1965,Berlin,Silver Bear Best Actor,TRUE,Cat Ballou
0,Jean-Pierre Léaud,1966,Berlin,Silver Bear Best Actor,TRUE,Masculine Feminine
0,Michel Simon,1966,Berlin,Silver Bear Best Actor,TRUE,The Train
0,Michel Piccoli,1967,Berlin,Silver Bear Best Actor,TRUE,The Young Girls of Rochefort
0,Jean-Louis Trintignant,1968,Berlin,Silver Bear Best Actor,TRUE,The Man Who Lies
0,Miklós Gábor,1970,Berlin,Silver Bear Best Actor,TRUE,Love
0,Elmar Otterbeck,1971,Berlin,Silver Bear Best Actor,TRUE,Los guerrilleros
0,Alberto Sordi,1972,Berlin,Silver Bear Best Actor,TRUE,Detenuto in attesa di giudizio
0,Karl Böhm,1973,Berlin,Silver Bear Best Actor,TRUE,Tenderness of the Wolves
0,Gérard Depardieu,1974,Berlin,Silver Bear Best Actor,TRUE,The Police Chief
0,Vlastimil Brodský,1975,Berlin,Silver Bear Best Actor,TRUE,Jacob the Liar
0,Gerhard Olschewski,1976,Berlin,Silver Bear Best Actor,TRUE,Escape Route to Marseilles
0,Fernando Fernán Gómez,1977,Berlin,Silver Bear Best Actor,TRUE,El anacoreta
0,Craig Russell,1978,Berlin,Silver Bear Best Actor,TRUE,Outrageous!
0,Michele Placido,1979,Berlin,Silver Bear Best Actor,TRUE,The Pump
0,Andrzej Seweryn,1980,Berlin,Silver Bear Best Actor,TRUE,The Conductor
0,Jack Lemmon,1981,Berlin,Silver Bear Best Actor,TRUE,Tribute
0,Michel Piccoli,1982,Berlin,Silver Bear Best Actor,TRUE,Une étrange affaire
0,Bruce Dern,1983,Berlin,Silver Bear Best Actor,TRUE,That Championship Season
0,Albert Finney,1984,Berlin,Silver Bear Best Actor,TRUE,The Dresser
0,Fernando Fernán Gómez,1985,Berlin,Silver Bear Best Actor,TRUE,Stico
0,Tuncel Kurtiz,1986,Berlin,Silver Bear Best Actor,TRUE,The Smile of the Lamb
0,Gian Maria Volonté,1987,Berlin,Silver Bear Best Actor,TRUE,Chronicle of a Death Foretold
0,Jörg Pose,1988,Berlin,Silver Bear Best Actor,TRUE,I Was Stalin's Bodyguard
0,Roger Jendly,1988,Berlin,Silver Bear Best Actor,TRUE,I Was Stalin's Bodyguard
0,Gene Hackman,1989,Berlin,Silver Bear Best Actor,TRUE,Mississippi Burning
0,Iain Glen,1990,Berlin,Silver Bear Best Actor,TRUE,Silent Scream
0,Maynard Eziashi,1991,Berlin,Silver Bear Best Actor,TRUE,Boesman and Lena
0,Armin Mueller-Stahl,1992,Berlin,Silver Bear Best Actor,TRUE,Utz
0,Denzel Washington,1993,Berlin,Silver Bear Best Actor,TRUE,Malcolm X
0,Tom Hanks,1994,Berlin,Silver Bear Best Actor,TRUE,Philadelphia
0,Paul Newman,1995,Berlin,Silver Bear Best Actor,TRUE,Nobody's Fool
0,Sean Penn,1996,Berlin,Silver Bear Best Actor,TRUE,Dead Man Walking
0,Leonardo DiCaprio,1997,Berlin,Silver Bear Best Actor,TRUE,Romeo + Juliet
0,Samuel L. Jackson,1998,Berlin,Silver Bear Best Actor,TRUE,Jackie Brown
0,Michael Gwisdek,1999,Berlin,Silver Bear Best Actor,TRUE,Nachtgestalten
0,Denzel Washington,2000,Berlin,Silver Bear Best Actor,TRUE,The Hurricane
0,Benicio del Toro,2001,Berlin,Silver Bear Best Actor,TRUE,Traffic
0,Jacques Gamblin,2002,Berlin,Silver Bear Best Actor,TRUE,Laissez-passer
0,Sam Rockwell,2003,Berlin,Silver Bear Best Actor,TRUE,Confessions of a Dangerous Mind
0,Daniel Brühl,2004,Berlin,Silver Bear Best Actor,TRUE,Good Bye Lenin!
0,Lou Taylor Pucci,2005,Berlin,Silver Bear Best Actor,TRUE,Thumbsucker
0,Moritz Bleibtreu,2006,Berlin,Silver Bear Best Actor,TRUE,Elementary Particles
0,Julio César Cedillo,2007,Berlin,Silver Bear Best Actor,TRUE,The Three Burials of Melquiades Estrada
0,Reza Naji,2008,Berlin,Silver Bear Best Actor,TRUE,The Song of Sparrows
0,Sotigui Kouyaté,2009,Berlin,Silver Bear Best Actor,TRUE,London River
0,Grigory Dobrygin,2010,Berlin,Silver Bear Best Actor,TRUE,How I Ended This Summer
0,Alexei Pogrebnoy,2010,Berlin,Silver Bear Best Actor,TRUE,How I Ended This Summer
0,Devin Ratray,2011,Berlin,Silver Bear Best Actor,TRUE,Nebraska
0,Mikkel Boe Følsgaard,2012,Berlin,Silver Bear Best Actor,TRUE,A Royal Affair
0,Nazif Mujić,2013,Berlin,Silver Bear Best Actor,TRUE,An Episode in the Life of an Iron Picker
0,Liao Fan,2014,Berlin,Silver Bear Best Actor,TRUE,Black Coal Thin Ice
0,Tom Courtenay,2015,Berlin,Silver Bear Best Actor,TRUE,45 Years
0,Majd Mastoura,2016,Berlin,Silver Bear Best Actor,TRUE,Hedi
0,Georg Friedrich,2017,Berlin,Silver Bear Best Actor,TRUE,Bright Nights
0,Anthony Bajon,2018,Berlin,Silver Bear Best Actor,TRUE,The Prayer
0,Wang Jingchun,2019,Berlin,Silver Bear Best Actor,TRUE,So Long My Son
0,Elio Germano,2020,Berlin,Silver Bear Best Actor,TRUE,Hidden Away
0,Mário Viegas,2021,Berlin,Silver Bear Best Actor,TRUE,Tschick
0,Mehmet Yilmaz Ak,2022,Berlin,Silver Bear Best Actor,TRUE,Sonne
0,Steel Gennadievich Gennadiev,2023,Berlin,Silver Bear Best Actor,TRUE,Superpower
0,Sebastian Stan,2024,Berlin,Silver Bear Best Actor,TRUE,A Different Man
0,Gus Birney,2025,Berlin,Silver Bear Best Actor,TRUE,The Room Next Door
