tmdb_id,nominee,year,festival,category,won,movie_title,Unnamed: 7,Unnamed: 8,Unnamed: 9
32185,Conrad A. Nervig,1935,Academy Awards,Best Film Editing,TRUE,Eskimo,,,
30799,Ralph Dawson,1936,Academy Awards,Best Film Editing,TRUE,A Midsummer Night's Dream,,,
30800,Ralph Dawson,1937,Academy Awards,Best Film Editing,TRUE,Anthony Adverse,,,
30445,Gene Havlick; Gene Milford,1938,Academy Awards,Best Film Editing,TRUE,Lost Horizon,,,
32202,Ralph Dawson,1939,Academy Awards,Best Film Editing,TRUE,The Adventures of Robin Hood,,,
30807,Hal C. Kern; James E. Newcom,1940,Academy Awards,Best Film Editing,TRUE,Gone with the Wind,,,
32211,Anne Bauchens,1941,Academy Awards,Best Film Editing,TRUE,North West Mounted Police,,,
32216,William Holmes,1942,Academy Awards,Best Film Editing,TRUE,Sergeant York,,,
30804,Daniel Mandell,1943,Academy Awards,Best Film Editing,TRUE,The Pride of the Yankees,,,
32224,George Amy,1944,Academy Awards,Best Film Editing,TRUE,Air Force,,,
30292,Barbara McLean,1945,Academy Awards,Best Film Editing,TRUE,Wilson,,,
30818,Robert J. Kern,1946,Academy Awards,Best Film Editing,TRUE,National Velvet,,,
30007,Daniel Mandell,1947,Academy Awards,Best Film Editing,TRUE,The Best Years of Our Lives,,,
32239,Francis Lyon; Robert Parrish,1948,Academy Awards,Best Film Editing,TRUE,Body and Soul,,,
30824,Paul Weatherwax,1949,Academy Awards,Best Film Editing,TRUE,The Naked City,,,
32248,Harry Gerstad,1950,Academy Awards,Best Film Editing,TRUE,Champion,,,
30846,Ralph E. Winters; Conrad A. Nervig,1951,Academy Awards,Best Film Editing,TRUE,King Solomon's Mines,,,
32256,William Hornbeck,1952,Academy Awards,Best Film Editing,TRUE,A Place in the Sun,,,
32259,Harry Gerstad,1953,Academy Awards,Best Film Editing,TRUE,High Noon,,,
30834,William A. Lyon,1954,Academy Awards,Best Film Editing,TRUE,From Here to Eternity,,,
30836,Gene Milford,1955,Academy Awards,Best Film Editing,TRUE,On the Waterfront,,,
32270,Charles Nelson; William A. Lyon,1956,Academy Awards,Best Film Editing,TRUE,Picnic,,,
30841,Gene Ruggiero; Paul Weatherwax,1957,Academy Awards,Best Film Editing,TRUE,Around the World in 80 Days,,,
30842,Peter Taylor,1958,Academy Awards,Best Film Editing,TRUE,The Bridge on the River Kwai,,,
30844,Adrienne Fazan,1959,Academy Awards,Best Film Editing,TRUE,Gigi,,,
30846,Ralph E. Winters; John D. Dunning,1960,Academy Awards,Best Film Editing,TRUE,Ben-Hur,,,
30613,Daniel Mandell,1961,Academy Awards,Best Film Editing,TRUE,The Apartment,,,
30850,Thomas Stanford,1962,Academy Awards,Best Film Editing,TRUE,West Side Story,,,
30852,Anne V. Coates,1963,Academy Awards,Best Film Editing,TRUE,Lawrence of Arabia,,,
32298,Harold F. Kress,1964,Academy Awards,Best Film Editing,TRUE,How the West Was Won,,,
31153,Cotton Warburton,1965,Academy Awards,Best Film Editing,TRUE,Mary Poppins,,,
32305,William H. Reynolds,1966,Academy Awards,Best Film Editing,TRUE,The Sound of Music,,,
31167,Frederic Steinkamp; Henry Berman; Stewart Linder; Frank Santillo,1967,Academy Awards,Best Film Editing,TRUE,Grand Prix,,,
32311,Hal Ashby,1968,Academy Awards,Best Film Editing,TRUE,In the Heat of the Night,,,
32315,Frank P. Keller,1969,Academy Awards,Best Film Editing,TRUE,Bullitt,,,
32319,Françoise Bonnot,1970,Academy Awards,Best Film Editing,TRUE,Z,,,
31183,Hugh S. Fowler,1971,Academy Awards,Best Film Editing,TRUE,Patton,,,
31187,Gerald B. Greenberg,1972,Academy Awards,Best Film Editing,TRUE,The French Connection,,,
32329,David Bretherton,1972,Academy Awards,Best Film Editing,TRUE,Cabaret,,,
32330,William H. Reynolds; Peter Zinner,1973,Academy Awards,Best Film Editing,TRUE,The Godfather,,,
32335,William Reynolds,1974,Academy Awards,Best Film Editing,TRUE,The Sting,,,
32336,Verna Fields,1975,Academy Awards,Best Film Editing,TRUE,Jaws,,,
34002,Richard Halsey; Scott Conrad,1976,Academy Awards,Best Film Editing,TRUE,Rocky,,,
32337,Richard Chew; Paul Hirsch; Marcia Lucas,1977,Academy Awards,Best Film Editing,TRUE,Star Wars,,,
32338,Peter Zinner,1978,Academy Awards,Best Film Editing,TRUE,The Deer Hunter,,,
32339,Alan Heim,1979,Academy Awards,Best Film Editing,TRUE,All That Jazz,,,
31226,Thelma Schoonmaker,1980,Academy Awards,Best Film Editing,TRUE,Raging Bull,,,
31230,Michael Kahn,1981,Academy Awards,Best Film Editing,TRUE,Raiders of the Lost Ark,,,
32340,John Bloom,1982,Academy Awards,Best Film Editing,TRUE,Gandhi,,,
32341,Glenn Farr; Lisa Fruchtman; Stephen A. Rotter; Douglas Stewart; Tom Rolf,1983,Academy Awards,Best Film Editing,TRUE,The Right Stuff,,,
31239,Nena Danevic; Michael Chandler,1984,Academy Awards,Best Film Editing,TRUE,Amadeus,,,
