,,,,,,,
tmdb_id,nominee,year,festival,category,won,movie_title,
10830,Ian Holm,1968,BAFTA,Best Supporting Actor,TRUE,The Bofors Gun,
18146,Anthony Hopkins,1968,BAFTA,Best Supporting Actor,FALSE,The Lion in Winter,
10831,John McEnery,1968,BAFTA,Best Supporting Actor,FALSE,Romeo and Juliet,
10832,George Segal,1968,BAFTA,Best Supporting Actor,FALSE,No Way to Treat a Lady,
10833,Billie Whitelaw,1968,BAFTA,Best Supporting Actress,TRUE,Charlie Bubbles,
10834,Pat Heywood,1968,BAFTA,Best Supporting Actress,FALSE,Romeo and Juliet,
10835,Virginia Maskell,1968,BAFTA,Best Supporting Actress,FALSE,Interlude,
10836,Simone Signoret,1968,BAFTA,Best Supporting Actress,FALSE,Games,
1892,Laurence Olivier,1969,BAFTA,Best Supporting Actor,TRUE,Oh! What a Lovely War,
10837,Jack Klugman,1969,BAFTA,Best Supporting Actor,FALSE,Goodbye Columbus,
3084,Jack Nicholson,1969,BAFTA,Best Supporting Actor,FALSE,Easy Rider,
16185,Robert Vaughn,1969,BAFTA,Best Supporting Actor,FALSE,Bullitt,
10838,Celia Johnson,1969,BAFTA,Best Supporting Actress,TRUE,The Prime of Miss Jean Brodie,
20233,Peggy Ashcroft,1969,BAFTA,Best Supporting Actress,FALSE,Three into Two Won't Go,
10839,Pamela Franklin,1969,BAFTA,Best Supporting Actress,FALSE,The Prime of Miss Jean Brodie,
10840,Mary Wimbush,1969,BAFTA,Best Supporting Actress,FALSE,Oh! What a Lovely War,
10841,Colin Welland,1970,BAFTA,Best Supporting Actor,TRUE,Kes,
10842,Bernard Cribbins,1970,BAFTA,Best Supporting Actor,FALSE,The Railway Children,
15132,John Mills,1970,BAFTA,Best Supporting Actor,FALSE,Ryan's Daughter,
11195,Gig Young,1970,BAFTA,Best Supporting Actor,FALSE,They Shoot Horses Don't They?,
20277,Susannah York,1970,BAFTA,Best Supporting Actress,TRUE,They Shoot Horses Don't They?,
10843,Evin Crowley,1970,BAFTA,Best Supporting Actress,FALSE,Ryan's Daughter,
20265,Estelle Parsons,1970,BAFTA,Best Supporting Actress,FALSE,Watermelon Man,
20236,Maureen Stapleton,1970,BAFTA,Best Supporting Actress,FALSE,Airport,
10844,Edward Fox,1971,BAFTA,Best Supporting Actor,TRUE,The Go-Between,
10845,Michael Gough,1971,BAFTA,Best Supporting Actor,FALSE,The Go-Between,
10846,Ian Hendry,1971,BAFTA,Best Supporting Actor,FALSE,Get Carter,
11132,John Hurt,1971,BAFTA,Best Supporting Actor,FALSE,10 Rillington Place,
20284,Margaret Leighton,1971,BAFTA,Best Supporting Actress,TRUE,The Go-Between,
10847,Jane Asher,1971,BAFTA,Best Supporting Actress,FALSE,Deep End,
10848,Georgia Brown,1971,BAFTA,Best Supporting Actress,FALSE,The Raging Moon,
10849,Georgia Engel,1971,BAFTA,Best Supporting Actress,FALSE,Taking Off,
16188,Ben Johnson,1972,BAFTA,Best Supporting Actor,TRUE,The Last Picture Show,
10850,Max Adrian,1972,BAFTA,Best Supporting Actor,FALSE,The Boy Friend,
380,Robert De Niro,1972,BAFTA,Best Supporting Actor,FALSE,The Godfather,
10146,Ralph Richardson,1972,BAFTA,Best Supporting Actor,FALSE,Lady Caroline Lamb,
15222,Cloris Leachman,1972,BAFTA,Best Supporting Actress,TRUE,The Last Picture Show,
20282,Marisa Berenson,1972,BAFTA,Best Supporting Actress,FALSE,Cabaret,
20316,Eileen Brennan,1972,BAFTA,Best Supporting Actress,FALSE,The Last Picture Show,
20311,Shelley Winters,1972,BAFTA,Best Supporting Actress,FALSE,The Poseidon Adventure,
10851,Arthur Lowe,1973,BAFTA,Best Supporting Actor,TRUE,O Lucky Man!,
10842,Ian Bannen,1973,BAFTA,Best Supporting Actor,FALSE,The Offence,
11155,Denholm Elliott,1973,BAFTA,Best Supporting Actor,FALSE,A Doll's House,
10852,Michael Lonsdale,1973,BAFTA,Best Supporting Actor,FALSE,The Day of the Jackal,
20293,Valentina Cortese,1973,BAFTA,Best Supporting Actress,TRUE,Day for Night,
10853,Rosemary Leach,1973,BAFTA,Best Supporting Actress,FALSE,That'll Be the Day,
10854,Delphine Seyrig,1973,BAFTA,Best Supporting Actress,FALSE,The Day of the Jackal,
