tmdb_id,nominee,year,festival,category,won,movie_title
0,Billie Whitelaw,1969,BAFTA,Best Supporting Actress,TRUE,Charlie Bubbles
0,Pat Heywood,1969,BAFTA,Best Supporting Actress,FALSE,Romeo and Juliet
0,Virginia Maskell,1969,BAFTA,Best Supporting Actress,FALSE,Interlude
0,Simone Signoret,1969,BAFTA,Best Supporting Actress,FALSE,Games
0,Celia Johnson,1970,BAFTA,Best Supporting Actress,TRUE,The Prime of Miss Jean Brodie
0,Peggy Ashcroft,1970,BAFTA,Best Supporting Actress,FALSE,Three into Two Won't Go
0,Pamela Franklin,1970,BAFTA,Best Supporting Actress,FALSE,The Prime of Miss Jean Brodie
0,Mary Wimbush,1970,BAFTA,Best Supporting Actress,FALSE,Oh! What a Lovely War
0,Susannah York,1971,BAFTA,Best Supporting Actress,TRUE,They Shoot Horses Don't They?
0,Evin Crowley,1971,BAFTA,Best Supporting Actress,FALSE,Ryan's Daughter
0,Estelle Parsons,1971,BAFTA,Best Supporting Actress,FALSE,Watermelon Man
0,Maureen Stapleton,1971,BAFTA,Best Supporting Actress,FALSE,Airport
0,Margaret Leighton,1972,BAFTA,Best Supporting Actress,TRUE,The Go-Between
0,Jane Asher,1972,BAFTA,Best Supporting Actress,FALSE,Deep End
0,Georgia Brown,1972,BAFTA,Best Supporting Actress,FALSE,The Raging Moon
0,Georgia Engel,1972,BAFTA,Best Supporting Actress,FALSE,Taking Off
0,Cloris Leachman,1973,BAFTA,Best Supporting Actress,TRUE,The Last Picture Show
0,Marisa Berenson,1973,BAFTA,Best Supporting Actress,FALSE,Cabaret
0,Eileen Brennan,1973,BAFTA,Best Supporting Actress,FALSE,The Last Picture Show
0,Shelley Winters,1973,BAFTA,Best Supporting Actress,FALSE,The Poseidon Adventure
0,Valentina Cortese,1974,BAFTA,Best Supporting Actress,TRUE,Day for Night
0,Rosemary Leach,1974,BAFTA,Best Supporting Actress,FALSE,That'll Be the Day
0,Delphine Seyrig,1974,BAFTA,Best Supporting Actress,FALSE,The Day of the Jackal
0,Ingrid Thulin,1974,BAFTA,Best Supporting Actress,FALSE,Cries and Whispers
0,Ingrid Bergman,1975,BAFTA,Best Supporting Actress,TRUE,Murder on the Orient Express
