tmdb_id,nominee,year,festival,category,won,movie_title,Unnamed: 7
33657.0,Rick Baker,1982,Academy Awards,Best Makeup & Hairstyling,TRUE,An American Werewolf in London,
33659.0,Sarah Monzani; Christopher Tucker,1983,Academy Awards,Best Makeup & Hairstyling,TRUE,Quest for Fire,
33661.0,Paul LeBlanc; Dick Smith,1985,Academy Awards,Best Makeup & Hairstyling,TRUE,Amadeus,
33663.0,Michael Westmore,1986,Academy Awards,Best Makeup & Hairstyling,TRUE,Mask,
33665.0,Chris Walas; Stephan Dupuis,1987,Academy Awards,Best Makeup & Hairstyling,TRUE,The Fly,
33667.0,Rick Baker,1988,Academy Awards,Best Makeup & Hairstyling,TRUE,Harry and the Hendersons,
33669.0,Ve Neill; Steve LaPorte; Robert Short,1989,Academy Awards,Best Makeup & Hairstyling,TRUE,Beetlejuice,
33672.0,Manlio Rocchetti; Lynn Barber; Kevin Haney,1990,Academy Awards,Best Makeup & Hairstyling,TRUE,Driving Miss Daisy,
33678.0,Stan Winston; Jeff Dawn,1992,Academy Awards,Best Makeup & Hairstyling,TRUE,Terminator 2: Judgment Day,
33681.0,Greg Cannom; Michèle Burke; Matthew W. Mungle,1993,Academy Awards,Best Makeup & Hairstyling,TRUE,Bram Stoker's Dracula,
33684.0,Greg Cannom; Ve Neill; Yolanda Toussieng,1994,Academy Awards,Best Makeup & Hairstyling,TRUE,Mrs. Doubtfire,
33687.0,Rick Baker; Ve Neill; Yolanda Toussieng,1995,Academy Awards,Best Makeup & Hairstyling,TRUE,Ed Wood,
33690.0,Peter Frampton; Paul Pattison; Lois Burwell,1996,Academy Awards,Best Makeup & Hairstyling,TRUE,Braveheart,
33693.0,Rick Baker; David LeRoy Anderson,1997,Academy Awards,Best Makeup & Hairstyling,TRUE,The Nutty Professor,
33696.0,Rick Baker; David LeRoy Anderson,1998,Academy Awards,Best Makeup & Hairstyling,TRUE,Men in Black,
33699.0,Jenny Shircore,1999,Academy Awards,Best Makeup & Hairstyling,TRUE,Elizabeth,
33702.0,Christine Blundell; Ann Buchanan,2000,Academy Awards,Best Makeup & Hairstyling,TRUE,Topsy-Turvy,
33705.0,Rick Baker; Gail Ryan,2001,Academy Awards,Best Makeup & Hairstyling,TRUE,How the Grinch Stole Christmas,
33707.0,Peter King; Peter Owen,2002,Academy Awards,Best Makeup & Hairstyling,TRUE,The Lord of the Rings: The Fellowship of the Ring,
33710.0,Beatrice De Alba; John Jackson,2003,Academy Awards,Best Makeup & Hairstyling,TRUE,Frida,
33712.0,Richard Taylor; Peter King,2004,Academy Awards,Best Makeup & Hairstyling,TRUE,The Lord of the Rings: The Return of the King,
33714.0,Valli O'Reilly; Bill Corso,2005,Academy Awards,Best Makeup & Hairstyling,TRUE,Lemony Snicket's A Series of Unfortunate Events,
33716.0,Howard Berger; Tami Lane,2006,Academy Awards,Best Makeup & Hairstyling,TRUE,The Chronicles of Narnia: The Lion, the Witch and the Wardrobe
33718.0,David Martí; Montse Ribé,2007,Academy Awards,Best Makeup & Hairstyling,TRUE,Pan's Labyrinth,
33721.0,Didier Lavergne; Jan Archibald,2008,Academy Awards,Best Makeup & Hairstyling,TRUE,La Vie en Rose,
33722.0,Greg Cannom,2009,Academy Awards,Best Makeup & Hairstyling,TRUE,The Curious Case of Benjamin Button,
33725.0,Barney Burman; Mindy Hall; Joel Harlow,2010,Academy Awards,Best Makeup & Hairstyling,TRUE,Star Trek,
33728.0,Rick Baker; Dave Elsey,2011,Academy Awards,Best Makeup & Hairstyling,TRUE,The Wolfman,
33731.0,Mark Coulier; J. Roy Helland,2012,Academy Awards,Best Makeup & Hairstyling,TRUE,The Iron Lady,
33734.0,Lisa Westcott; Julie Dartnell,2013,Academy Awards,Best Makeup & Hairstyling,TRUE,Les Misérables,
33737.0,Adruitha Lee; Robin Mathews,2014,Academy Awards,Best Makeup & Hairstyling,TRUE,Dallas Buyers Club,
33740.0,Frances Hannon; Mark Coulier,2015,Academy Awards,Best Makeup & Hairstyling,TRUE,The Grand Budapest Hotel,
33743.0,Lesley Vanderwalt; Elka Wardega; Damian Martin,2016,Academy Awards,Best Makeup & Hairstyling,TRUE,Mad Max: Fury Road,
33746.0,Alessandro Bertolazzi; Giorgio Gregorini; Christopher Nelson,2017,Academy Awards,Best Makeup & Hairstyling,TRUE,Suicide Squad,
33749.0,Kazu Hiro; David Malinowski; Lucy Sibbick,2018,Academy Awards,Best Makeup & Hairstyling,TRUE,Darkest Hour,
33752.0,Greg Cannom; Kate Biscoe; Patricia Dehaney,2019,Academy Awards,Best Makeup & Hairstyling,TRUE,Vice,
33755.0,Kazu Hiro; Anne Morgan; Vivian Baker,2020,Academy Awards,Best Makeup & Hairstyling,TRUE,Bombshell,
33760.0,Sergio Lopez-Rivera; Mia Neal; Jamika Wilson,2021,Academy Awards,Best Makeup & Hairstyling,TRUE,Ma Rainey's Black Bottom,
33765.0,Linda Dowds; Stephanie Ingram; Justin Raleigh,2022,Academy Awards,Best Makeup & Hairstyling,TRUE,The Eyes of Tammy Faye,
33770.0,Adrien Morot; Judy Chin; Anne Marie Bradley,2023,Academy Awards,Best Makeup & Hairstyling,TRUE,The Whale,
33775.0,Nadia Stacey; Mark Coulier; Josh Weston,2024,Academy Awards,Best Makeup & Hairstyling,TRUE,Poor Things,
33780.0,Mike Hill; Jordan Samuel,2025,Academy Awards,Best Makeup & Hairstyling,TRUE,Frankenstein,
33785.0,Jordan Samuel; Mike Hill,2026,Academy Awards,Best Makeup & Hairstyling,TRUE,Frankenstein,
